ROI_A,ROI_B,FC_mean,FC_SD,MI_mean,MI_SD,CL_freq
L_M1_tongue,R_M1_tongue,0.871,0.031,0.876,0.131,10/10
L_M1_tongue,L_S1S2,0.769,0.148,0.759,0.25,9/10
L_M1_hand,R_M1_hand,0.67,0.115,0.608,0.151,10/10
L_S1S2,R_M1_tongue,0.669,0.131,0.585,0.165,0/10
R_M1_tongue,R_PMv,0.642,0.117,0.556,0.12,7/10
L_M1_foot,R_M1_foot,0.574,0.133,0.512,0.135,10/10
L_S1S2,R_PMv,0.574,0.113,0.496,0.133,3/10
L_M1_tongue,R_PMv,0.575,0.126,0.496,0.117,1/10
L_S1S2,R_S1S2,0.577,0.092,0.493,0.136,8/10
R_M1_tongue,R_S1S2,0.48,0.188,0.463,0.15,0/10
L_M1_tongue,R_S1S2,0.455,0.192,0.45,0.155,1/10
L_S1S2,SMA,0.482,0.059,0.433,0.122,4/10
R_PMv,SMA,0.468,0.086,0.432,0.123,6/10
L_M1_tongue,R_M1_hand,0.388,0.141,0.424,0.141,1/10
R_M1_hand,R_M1_tongue,0.386,0.12,0.423,0.132,1/10
R_PMv,R_S1S2,0.425,0.141,0.419,0.143,0/10
R_M1_foot,R_M1_hand,0.364,0.174,0.416,0.138,6/10
R_S1S2,SMA,0.427,0.084,0.411,0.115,1/10
L_S1S2,R_M1_hand,0.388,0.129,0.411,0.126,4/10
L_M1_foot,R_M1_hand,0.366,0.143,0.409,0.136,4/10
R_M1_hand,R_S1S2,0.34,0.181,0.401,0.141,0/10
L_M1_hand,L_M1_tongue,0.323,0.159,0.4,0.132,0/10
L_PMd,L_S1S2,0.394,0.091,0.4,0.126,5/10
L_M1_hand,R_M1_foot,0.312,0.182,0.398,0.138,0/10
L_M1_hand,L_S1S2,0.345,0.144,0.397,0.117,1/10
L_PMd,R_M1_hand,0.337,0.16,0.395,0.147,0/10
R_M1_hand,SMA,0.363,0.102,0.395,0.122,1/10
L_M1_hand,L_PMd,0.318,0.185,0.395,0.143,2/10
L_PMd,SMA,0.378,0.074,0.395,0.126,3/10
L_M1_tongue,L_PMd,0.338,0.153,0.394,0.142,1/10
L_M1_hand,SMA,0.344,0.136,0.392,0.118,0/10
L_M1_foot,L_M1_hand,0.319,0.155,0.392,0.135,0/10
R_M1_hand,R_PMv,0.332,0.103,0.391,0.115,0/10
L_M1_hand,R_M1_tongue,0.296,0.137,0.389,0.127,0/10
L_M1_tongue,SMA,0.352,0.095,0.385,0.128,0/10
L_PMd,R_PMv,0.341,0.096,0.383,0.122,0/10
L_PMd,R_S1S2,0.321,0.126,0.383,0.138,0/10
L_M1_hand,R_S1S2,0.262,0.189,0.381,0.13,0/10
R_M1_tongue,SMA,0.321,0.097,0.38,0.125,0/10
L_PMd,R_M1_tongue,0.297,0.118,0.377,0.126,1/10
L_M1_hand,R_PMv,0.271,0.122,0.375,0.11,0/10
L_M1_tongue,R_M1_foot,0.23,0.138,0.364,0.131,0/10
L_M1_foot,SMA,0.271,0.106,0.364,0.124,0/10
L_M1_foot,L_M1_tongue,0.229,0.123,0.364,0.13,0/10
R_M1_foot,R_M1_tongue,0.218,0.122,0.362,0.125,0/10
R_M1_foot,SMA,0.229,0.133,0.361,0.125,0/10
L_M1_foot,R_M1_tongue,0.206,0.102,0.36,0.123,0/10
R_M1_foot,R_S1S2,0.177,0.164,0.356,0.127,0/10
L_M1_foot,R_S1S2,0.194,0.15,0.356,0.13,0/10
L_M1_foot,L_S1S2,0.22,0.109,0.355,0.124,0/10
L_M1_foot,L_PMd,0.199,0.131,0.354,0.13,0/10
L_PMd,R_M1_foot,0.19,0.148,0.353,0.135,0/10
L_S1S2,R_M1_foot,0.2,0.121,0.352,0.129,0/10
L_M1_foot,R_PMv,0.156,0.118,0.349,0.125,0/10
R_M1_foot,R_PMv,0.15,0.121,0.347,0.124,0/10
