L_M1_foot,L_M1_hand,L_M1_tongue,L_PMd,L_S1S2,R_M1_foot,R_M1_hand,R_M1_tongue,R_PMv,R_S1S2,SMA
-5.216249912891542939e-01,5.135228387714337039e-02,-2.899358101332774607e-01,-1.861499999064841482e-01,-3.601219575655554839e-01,-2.330870249431872043e+00,-4.212926248816455388e-01,4.111926724855343579e-02,1.875130477461661505e+00,4.282898901235304145e-01,5.903691045962873307e-01
-2.965737103444767506e-15,1.077445604617256391e-14,-2.562082448498026551e-15,9.832471683656123282e-15,9.313987668639549548e-15,-6.689452804439977538e-15,1.741740356133420708e-14,2.039256312035559919e-15,9.370040225964075059e-15,1.236996008308123028e-15,-8.667241328574337991e-15
2.691296841924846195e-01,-1.403408780915431919e-01,-2.578371371888799057e-01,7.849815511436161741e-02,-1.537084446245300939e-01,-2.604593981026838811e+00,-8.210856159378948638e-01,-3.110311887860973123e-01,-5.337254777041435805e-01,6.811241808187830094e-01,-2.870005175579876666e-01
5.870972883476782700e-01,1.130230842481533493e+00,2.344394006263157415e-01,4.922537841689743621e-01,2.646451983359288107e-01,2.076485622509150808e+00,1.097374211441464853e+00,2.620795260948386995e-01,-1.024543078511718358e-01,5.185902366972846567e-01,1.530685447357943874e+00
1.219829589796399445e-02,-1.267810000968188966e+00,-3.073959081739087162e-01,9.517800746724874861e-01,-3.886073862321099415e-01,1.141471033039410443e+00,-4.104766533964458453e-01,-7.312121119713037576e-01,-1.227998621448257027e-01,5.037144008047343968e-01,8.000850629448865714e-01
-7.415315810447671296e-01,5.934170797331373981e-01,1.066634817040310823e+00,-3.779133655707491157e-01,2.165006197894836948e+00,4.199302581594845929e-01,1.902730418700863957e-01,1.580590469078171800e+00,7.132408718202646325e-01,1.286339246607772990e+00,3.393984450329358138e-01
-1.970789099896663066e+00,-8.399680470899987261e-01,-5.455490590012710417e-01,1.285593999606825244e-01,-9.252961743902747838e-01,-4.186941583071567691e-02,-7.649029186883583575e-01,-1.211658472957845012e+00,-1.670101031601078034e+00,-5.656205389345766998e-02,-2.718432221656096992e+00
8.043049700974849725e-02,-4.367001261197915318e-01,-2.006555957678235469e+00,-1.865397021063535776e+00,-1.961596587135407743e+00,3.209351505299370411e-01,-4.997512111421628100e-01,-2.250335017471888577e+00,-2.562475033919149325e+00,-1.710348977598508347e+00,-1.411312929630319069e+00
5.944546793220057967e-01,-1.344524452680989857e+00,-7.365797397879066954e-01,-7.750660765461654389e-01,-2.482679101895083895e-01,-6.006077874801792060e-02,-7.930945332252797852e-01,-2.971639532494151359e-01,-6.299190803870927668e-01,-1.728561151498065662e+00,-1.582177919928476673e+00
9.708943471807660597e-01,-1.127376060884775377e+00,-1.021920273626003350e+00,-9.414289991452757800e-01,-2.042796091227900845e+00,1.472325745839567324e+00,-7.361352621721596323e-01,-1.313695756579157825e+00,-1.513897037739057483e+00,-1.037827301302332250e+00,-1.376599097597514865e+00
1.922539395966173403e+00,1.418639959555273222e+00,4.369670646145878967e-01,6.565097412133908961e-01,3.337887124446508591e-01,5.535325404638382629e-01,1.385926265423447212e+00,4.324450808306806726e-01,2.393046437589821107e-01,3.467832994852479978e-01,7.259073671155433782e-01
-1.713441781128930863e+00,-2.973972121158866555e-01,-7.339016339205058914e-01,3.602210509945850125e-01,5.532767126328147489e-01,8.718247912957576284e-01,2.123969362207205405e-02,-1.183644889299319408e-01,-6.645288223167125086e-01,2.523246754073708686e+00,1.735685430662597506e+00
2.448903068577162889e-01,7.382392024087118809e-01,9.160596500280466792e-01,-9.579713221002850165e-02,1.052762333822802265e+00,4.944773682848440655e-01,9.848533210346670508e-01,1.559729932733650681e+00,7.900424578515495844e-01,1.622008924551066489e+00,-5.766889178602364885e-02
1.182368489608089046e+00,2.320462635398170270e-01,2.093438757861218136e+00,1.064544359635548831e+00,2.565747810235908144e+00,-3.341833832319617281e-01,1.046085542264068025e+00,1.837573704436732847e+00,1.830941547651464996e+00,-2.357826330968422826e-02,-1.223073201950455102e+00
1.064142923370178906e+00,8.291520930027731495e-01,1.750668273771309513e+00,-8.991210562771583259e-01,9.837411178759988273e-01,1.379966653259928400e+00,1.304162110482040893e+00,1.453110002156830616e+00,1.090533822318713542e+00,-6.664484068128502248e-01,6.833670528389790277e-01
7.247378401165340822e-01,1.620132259222987425e+00,1.143147686985263478e+00,-1.227351906053822717e+00,1.101217157699009963e+00,-4.831181811478502119e-01,1.581500747013093511e+00,1.312179374642379104e+00,1.121000348061410579e+00,-1.851404958908851039e-01,8.076194618460385000e-01
6.288698716087050000e-01,6.629492904338444292e-01,-6.206069252143020520e-01,2.164766829454217500e+00,-8.786972719645570751e-02,4.803058775226394239e-01,1.763533007865955238e+00,1.884991550809526628e-01,1.516642839356016736e+00,-2.231982880717781337e-01,2.031042240480934458e-01
-7.863813211010262094e-01,1.162734909971769426e+00,-7.029841473667239882e-01,9.040467315783846658e-01,-6.812578414691349282e-01,-7.029998637340351131e-01,1.363900344600336156e+00,2.428606878837651362e-01,3.769787356917553844e-01,7.566012925208748241e-01,1.391051028457629180e+00
7.502057711787735172e-01,1.359466662803164638e+00,2.243490151698705581e+00,1.358643325453670614e-01,1.340509174328902153e+00,3.035271806429072350e-01,1.486388161606456704e-01,2.555036930502994075e+00,2.815717099146504587e+00,8.829064916337568958e-01,2.194351582629516795e+00
