foot__Left_3b,foot__Left_4,foot__Right_3b,foot__Right_4,hand__Left_3b,hand__Left_4,hand__Right_3b,hand__Right_4,tongue__Left_3b,tongue__Left_4,tongue__Right_3b,tongue__Right_4,whole__Left_1,whole__Left_2,whole__Left_3a,whole__Left_55b,whole__Left_5L,whole__Left_5m,whole__Left_6a,whole__Left_6d,whole__Left_6ma,whole__Left_6mp,whole__Left_6r,whole__Left_6v,whole__Left_SCEF,whole__Right_1,whole__Right_2,whole__Right_3a,whole__Right_55b,whole__Right_5L,whole__Right_5m,whole__Right_6a,whole__Right_6d,whole__Right_6ma,whole__Right_6mp,whole__Right_6r,whole__Right_6v,whole__Right_SCEF
-3.517076790847939449e-01,-2.356014494812006088e+00,-7.833140192861780260e-02,-1.892611923742492985e+00,1.760532793256831541e+00,9.345783430310607987e-01,4.571958727997714189e-01,1.346993719283147595e+00,-1.060130160692297763e-01,3.071683575448528325e-01,1.210318025904345784e+00,-3.194907007917329733e-01,4.777809941611979583e-01,2.824609558607884541e+00,-5.064997187565517534e-02,1.657519388586931264e+00,-7.947427300597283972e-01,1.113605653009599461e+00,6.959583761774422728e-01,8.308913535756021762e-01,7.392449558444922353e-01,-8.198617887880741417e-01,1.499230773570459974e+00,3.296910982436544124e+00,1.578261059543574651e+00,1.939275880533292418e-01,2.878286928528123401e+00,-3.090241306151742320e-02,2.070503679808311848e+00,-7.612563452198305436e-01,8.768192849008183964e-01,5.124641935650831037e-01,9.009694861224357698e-01,1.519408571531859042e+00,2.177587628758138050e-01,-9.482560278087729388e-01,1.608140542732146017e+00,1.310238700502972531e+00
-1.202052996276805841e+00,-3.860724626506776419e-02,-1.097364120992820213e+00,-1.126324354263129379e+00,-1.333319088338926095e+00,-1.426269322353331148e+00,-5.289597438042799027e-01,-7.581456078663323384e-01,-4.810345524721322263e-01,-1.326107343464644428e+00,-4.382688641665118401e-01,-1.244598837542387093e+00,-7.295177958684602171e-01,-6.916441993907102015e-01,-1.481208838015616092e+00,-1.192505933115970418e+00,-3.622849730712681543e-02,1.322470186620802735e-02,-1.254699605050646039e+00,9.074634153066000186e-01,1.065080649018357306e+00,-5.864252007030348185e-02,2.366778112230844278e-01,3.576952884043919922e-02,-9.000963931083358904e-01,-1.040021954821194416e+00,-9.307600525145510728e-01,-1.304806410473832834e+00,-1.383875389622517327e+00,3.160171400734063107e-01,1.116639248186794969e-01,-1.769035173184732690e+00,1.277617392760815596e-01,6.149128196648255829e-01,-5.167399832218713129e-01,-4.654167640487702484e-01,-7.922251464356523387e-01,-2.853709753814386296e-01
-2.753762609469427858e-01,-4.312803015646640148e-01,-7.343217086177486475e-02,3.539069898465729835e-01,-5.129813486619223539e-01,4.963240363993186022e-01,-6.065377155604980558e-02,4.003593219220848987e-01,1.531024235667732825e+00,2.276014256035129080e+00,2.396234613363016075e-01,1.573358390365667825e+00,3.794664031655228253e-01,-2.627940809706422742e-01,1.699471665165367629e+00,-2.131542371076508569e-02,-2.212547671791250670e-01,-1.057203493164117492e-01,2.880105151572136535e-01,-6.291863866361163682e-01,-1.652372145743034315e-01,-2.898667782744321353e-01,1.217369001321964017e-01,1.760646965497812688e-01,-7.223150652385662562e-01,5.146195703280432854e-01,-1.413092389535642646e+00,8.896178936207075338e-01,6.235062337095119700e-01,-1.723536666724895250e-01,-4.393083975911962757e-01,-2.305564167480558535e-01,-3.071199722822923195e-01,-9.607131545711635745e-01,-7.060517791164735435e-01,1.095840284052284952e+00,9.808874909923771535e-01,-2.309128609771421425e-01
6.036473760885726625e-01,5.048991566217811977e-01,3.011785295866361012e-01,1.349438290594993373e-01,-1.747098294051165679e+00,-1.178720913546182913e+00,-7.051555410690115711e-01,-2.696756435071701041e-01,3.293953134454305598e+00,3.530282504471567329e+00,2.266640393143265708e+00,2.986732533367007836e+00,7.968732086895631284e-01,-3.238034403355841695e-01,2.561238777247619502e+00,-5.986207789070971952e-01,1.456405612301340469e+00,7.412365936969997904e-01,-4.010977330687977571e-01,-5.922381599514352918e-02,-3.088116707549891649e-01,5.306415310000730523e-01,4.094571735900132681e-01,-1.856864999160819929e-01,-5.846930307656700299e-01,6.248214543039480873e-01,-1.017655947086503643e+00,1.471787704476179348e+00,7.222446118484691091e-01,1.492392053154749654e+00,1.389064522460968343e+00,-4.902319736473986778e-01,8.844558188823713474e-01,-2.262100823301988750e-01,-1.220825925440138099e-01,1.379985179913183480e+00,2.035211879759268427e+00,-1.258094298881868023e-01
-9.671702284185472731e-01,5.946670887145796280e-01,-1.019984401856981027e+00,2.533940131969804610e-01,-1.636443163167813575e+00,-9.760519486849084103e-01,5.804307734669076346e-01,-1.503942165805498277e-01,5.814195361155604092e-01,2.314302983261701252e-01,1.132527493871166302e-01,4.295462469449867760e-01,3.547762406491544035e-02,-1.115249211232163695e+00,4.825779372730006067e-02,-1.204284840696905112e+00,2.705874266336751321e-01,4.521345976957273360e-01,-2.405443065649308654e-01,-2.884999114416946231e-01,-1.030240741658378312e+00,6.289607485284010036e-02,-1.863022473752496300e+00,-2.028962306582714703e+00,-1.141181251576821154e+00,1.342781854382052997e-01,-9.485032038847793778e-01,4.498582817473579243e-01,3.997928932563793447e-02,3.832300497031378150e-02,-4.130914483334113818e-02,5.862702770186155599e-01,-9.637384014110562946e-02,3.268191003610022155e-02,8.802306857420092445e-01,5.951669700020315590e-01,-7.923821655936027497e-01,-5.393901418032474027e-01
-2.766626012770450616e-01,1.612829743036609642e+00,5.103710601518476331e-01,1.032565921401096709e+00,1.848576215649190557e-01,2.879549813016647475e-01,9.769061596385766322e-01,-1.403275763037860335e-01,-5.087521673379896692e-01,-9.374289044272351434e-01,-5.666716395464863609e-01,3.264428707218832160e-01,-6.984640291202709461e-01,-5.653287271823345117e-01,-8.703487027992636849e-01,-4.694743276801235238e-02,-4.568054268864894518e-01,-8.038007619015573590e-01,2.982942332110499750e-01,-1.079168742660539193e+00,-1.493274498035062292e+00,2.176055809144308018e-01,-1.473369974855463393e+00,-1.544601222279155861e+00,-3.790076503441593969e-01,-5.561492457756820329e-01,3.121303830154898429e-01,7.927178428965110379e-01,3.927412665845769757e-01,6.619157292235807732e-01,-3.915213712043960070e-01,5.716392305896373927e-01,-1.064939663960977168e+00,-1.477141707261945047e+00,-2.699157111085198069e-01,-1.925484669926887937e-01,-2.436372363310931877e-01,-5.527585080427069864e-01
7.608145627770872554e-01,-3.191942334988592811e-01,4.781184981641807274e-01,2.326277509006951516e-01,-4.667509054570843086e-01,7.589738087908166619e-01,-1.525886025810115065e-01,-1.774355190199728149e-01,-6.562191468706093378e-01,-6.191634510228060106e-01,-7.673241127654771843e-01,1.910196846404591808e-01,5.220944231436221994e-01,-1.229958729838882409e-01,-1.575682881923758938e+00,4.204007893494907666e-01,-1.811433208757764257e+00,2.425867134611067039e-02,1.163470137844456187e-01,4.804095553884805136e-01,7.703071895997129492e-02,-4.325914878758004845e-01,-2.965619808636204557e-01,-1.026268225508850385e-01,3.399528580739472755e-02,-4.257808496776822604e-01,-2.564934136566667799e-01,7.261663781309788401e-01,8.031727119209841614e-01,-5.521657221931682846e-01,-2.024909824945913261e-01,-1.528936636467303212e-01,8.754065418276062438e-01,-2.832946115057651815e-01,8.519524201979576938e-01,-1.176012725461728303e+00,-7.868526064734412961e-02,-6.884912013092265859e-01
9.642970040548087818e-01,9.404276372677330409e-01,2.013715968017088187e+00,-4.973177042041301843e-01,1.414138224628124663e+00,3.340753778276276953e-01,1.091959016266144333e+00,1.314852755948590746e+00,1.708910802668680562e+00,1.274226160653461060e+00,1.507353561555829113e+00,1.790547293142849883e+00,1.878703396508959678e+00,4.761075484621665188e-01,1.747739983134868114e+00,1.610332925568039419e+00,-3.998556528752073569e-01,1.457038770092853541e+00,8.249925191185852880e-01,5.438784630769625261e-01,-2.698273515168716497e-01,6.381649440196410783e-01,3.999149297904698308e-01,3.155518324742642711e-01,1.493794650857183770e+00,1.367537840090749857e+00,1.402598407625341936e+00,1.402250944592188464e+00,1.840722336862631980e+00,6.833495282389323577e-01,1.731134850126505587e+00,6.718548220715032659e-01,5.244773829110304098e-01,6.925064924227977148e-01,1.124475732652625570e+00,2.100692937885625611e+00,2.749545015411690052e+00,1.019761889744132066e+00
2.209821483183362911e+00,5.476721172500771395e-01,6.670606509803516104e-01,1.161632456665139923e+00,3.147349900097945463e-02,-1.117717130613605364e-01,1.638803333900855197e+00,1.310290485737440447e+00,6.489308336681950395e-01,-2.533921039099692463e-01,9.263079235426071589e-01,1.150666149539600447e+00,7.629668439570028715e-01,-9.670001839163315793e-01,1.615119489678049858e+00,5.264036350884565563e-01,6.938954281571251270e-01,-1.501095671752836549e-02,-6.566821785505928544e-01,-6.021350780538681224e-01,8.592231869079959283e-01,1.806504408709211917e+00,-6.917840393598132520e-01,1.581824021972393080e-01,1.159086930560512707e+00,1.925846716371007183e-01,1.104148597208490123e+00,6.923739027742706886e-01,2.195910725045036593e-01,1.497563673852699395e+00,9.297576980792464640e-01,6.625416554640944922e-01,4.087953216931838191e-02,7.171385762941271391e-01,1.068565447852673600e+00,3.269864951639583350e-01,9.585141906280132407e-01,1.078730921173345569e+00
-7.121837423058767769e-01,8.332972427212738398e-02,1.159587831966485849e+00,1.237465080894841751e-01,-7.152340883824484519e-02,2.451540712805360955e-01,-3.203319584230630568e-01,-6.431796963554267110e-01,-1.584231495151393831e+00,-1.974685679706190689e+00,-1.599431045772998550e+00,-1.796109956674375674e+00,-2.157475602603885712e+00,-1.429902851864519375e+00,-1.597842777467579634e+00,1.521425788194317660e-02,-2.733810516845871508e-01,-1.621894495395761471e+00,-9.918258383216151941e-01,-1.541020449242363144e+00,-1.296698503186494600e+00,-7.049937359416615923e-01,-6.473711428968379478e-01,-6.721483907523910784e-01,-5.037883311878122994e-01,-1.370499293352355430e+00,-9.857338089658072011e-01,1.785520636759061197e-01,-9.128346430787295240e-01,-3.081181237828445885e-01,-2.310833181411181270e-01,-7.623975641261597769e-01,-1.379521368065251830e-01,-3.101221985125595104e-01,-1.155920739077776371e+00,-1.538499374753353965e+00,-1.011052213381428366e+00,-6.712862564666428611e-01
